9 280 675
5 134 0.430751 0.00320611
6 134 0.397133 0.0164513
5 135 0.418527 0.0470172
6 135 0.381852 0.0602624
5 136 0.229041 0.0133947
6 136 0.198479 0.0266399
5 137 0.420564 -0.279019
6 137 0.376758 -0.260679
5 138 0.308503 0.0419229
6 138 0.273866 0.0551681
5 139 0.344159 0.0510926
6 139 0.308503 0.0643378
5 140 -0.379145 -0.0630199
6 140 -0.39952 -0.0456993
6 76 -0.0735239 -0.0456993
6 89 -0.396464 -0.0212466
5 141 -0.501394 0.102036
6 141 -0.524825 0.117319
5 142 0.410377 0.143809
6 142 0.373702 0.156035
5 143 0.437883 0.138715
6 143 0.402227 0.150941
5 144 0.324803 0.153998
6 144 0.290166 0.166224
5 145 0.404264 -0.00290706
6 145 0.366571 0.011357
5 146 0.324803 0.168262
6 146 0.291184 0.180488
5 147 -0.477963 0.0358097
6 147 -0.501394 0.0531303
5 148 -0.0806551 0.152571
6 148 -0.111217 0.16602
5 149 -0.0464255 -0.0613897
6 149 -0.0720977 -0.0454955
5 133 0.440124 0.125673
5 150 -0.363049 -0.0161522
6 150 -0.382609 -0.000258011
5 97 -0.050093 -0.115186
5 151 0.442569 0.146458
6 151 0.408339 0.158684
5 152 0.323988 0.155017
6 152 0.289758 0.167243
5 153 -0.477963 0.0351984
6 153 -0.50119 0.0523153
5 154 0.333523 -0.00172517
6 154 0.295382 0.0129465
5 155 0.311518 0.165531
6 155 0.277778 0.177268
5 156 -0.364761 -0.0149296
6 156 -0.383832 0.00120915
5 157 0.417141 0.0525598
6 157 0.381934 0.0657643
5 158 0.356995 0.0466912
6 158 0.321787 0.0598956
5 153 -0.477718 0.0349539
5 159 0.409806 0.0320196
6 159 0.373132 0.045224
5 160 0.0459944 0.187539
6 160 0.00931986 0.199276
5 161 0.405699 0.162303
6 161 0.370491 0.174628
5 162 0.345846 -0.0595313
6 162 0.307117 -0.0436859
5 163 -0.324859 -0.0859402
6 163 -0.345983 -0.0683343
5 164 0.409219 0.0320196
6 164 0.372252 0.0443437
5 165 0.324369 0.157374
6 165 0.29057 0.17005
5 166 0.30747 0.0432874
6 166 0.27367 0.0559636
5 167 0.284233 -0.0391084
6 167 0.252546 -0.0264321
5 168 -0.258669 -0.00741772
6 168 -0.284018 0.00948398
5 169 0.338312 -0.040376
6 169 0.300287 -0.0251644
5 74 -0.140793 -0.184885
5 170 0.442244 -0.124039
6 170 0.40422 -0.108828
5 171 -0.242191 -0.00234716
6 171 -0.267541 0.0153996
5 172 -0.257401 -0.00995293
6 172 -0.282751 0.00779385
5 173 0.333242 0.159909
6 173 0.297752 0.172585
5 174 0.412839 0.143176
6 174 0.376336 0.155346
5 175 -0.116458 -0.179308
6 175 -0.143835 -0.161054
5 176 0.415881 0.13405
6 176 0.379378 0.146219
5 177 0.300287 0.0397381
6 177 0.263784 0.0519073
5 178 0.0417227 0.182726
6 178 0.00521947 0.194896
5 179 0.308805 0.162039
6 179 0.275952 0.172991
5 180 0.402227 -0.203623
7 180 0.410377 -0.155736
5 181 0.33499 -0.0018882
7 181 0.347215 0.0347908
7 138 0.321746 0.0765642
7 139 0.355365 0.0857339
5 182 0.442976 0.146866
7 182 0.453164 0.179469
7 141 -0.455551 0.136677
5 183 0.378796 -0.207698
7 183 0.388983 -0.159812
5 184 0.432789 0.14279
7 184 0.442976 0.174375
5 185 0.350271 -0.0497747
7 185 0.361477 -0.011058
5 186 0.377777 -0.202604
7 186 0.388983 -0.155736
5 187 0.301372 0.0347908
7 187 0.314615 0.070451
5 188 0.425658 0.135658
7 188 0.435845 0.168262
7 146 0.338046 0.199846
7 133 0.449904 0.158684
5 189 -0.191901 -0.0100391
7 189 -0.162562 0.02664
5 190 0.447459 0.146458
7 190 0.457239 0.178247
5 191 0.229856 0.130564
7 191 0.245749 0.162352
5 192 0.301983 0.0351984
7 192 0.31543 0.0694322
5 193 0.31054 0.0339758
7 193 0.323988 0.0694322
5 194 0.341103 0.000964636
7 194 0.353327 0.0376437
5 195 0.345992 -0.0601671
7 195 0.356995 -0.0210428
5 196 0.33499 0.172867
7 196 0.348193 0.203677
5 197 0.401004 0.159663
7 197 0.411273 0.19194
5 198 0.430344 0.142057
7 198 0.440613 0.174334
7 159 0.418608 0.0672314
5 199 -0.53053 -0.0325355
7 199 -0.48163 0.00830045
5 200 0.285993 -0.0401648
7 200 0.298316 -0.00319231
7 93 0.324721 0.197515
7 162 0.356995 -0.0207983
5 201 -0.245642 -0.0102347
7 201 -0.213955 0.0267378
7 163 -0.291412 -0.0472071
5 202 -0.138259 -0.186294
7 202 -0.111853 -0.14404
5 203 0.351127 0.0390619
7 203 0.36345 0.0742738
7 164 0.418021 0.0672314
7 165 0.337044 0.189065
5 204 -0.235432 -0.00107956
7 204 -0.203745 0.0369493
5 205 -0.140371 -0.184886
7 205 -0.112909 -0.142631
5 206 0.343381 -0.0581228
7 206 0.356056 -0.020094
5 207 0.225084 0.0137094
7 207 0.239871 0.0475128
7 168 -0.224869 0.0284984
5 208 0.282543 -0.040376
7 208 0.295217 -0.00488241
5 209 -0.0140461 0.182726
7 209 0.0113034 0.213149
5 210 0.396615 -0.200097
7 210 0.406755 -0.151927
7 171 -0.209237 0.0356817
7 172 -0.224447 0.0280759
5 211 0.328172 -0.00234716
7 211 0.340846 0.0356817
5 212 0.285078 -0.0332772
7 212 0.297245 0.00323043
5 213 0.336791 -0.0271926
7 213 0.348958 0.00931502
5 214 0.336791 -0.0393619
7 214 0.348958 -0.0028542
7 177 0.312455 0.0732035
5 215 0.436566 0.129182
7 215 0.443867 0.162039
5 216 -0.377456 -0.0533565
7 216 -0.340953 -0.0168488
5 217 0.425615 0.0160081
7 217 0.436566 0.0525158
8 26 0.0191812 -0.12517
8 87 0.447459 -0.0308239
5 218 0.402227 0.165205
8 218 0.500026 0.137696
8 88 0.00980889 -0.15431
8 76 0.0146988 -0.0956235
8 141 -0.459626 0.107334
5 90 -0.362846 -0.0161523
5 219 0.33499 0.173356
8 219 0.432789 0.148903
5 220 -0.380164 -0.063835
8 220 -0.354492 -0.091222
8 133 0.539756 0.0959225
8 91 0.425454 0.146458
8 97 0.0107868 -0.15431
5 221 -0.377719 -0.0895103
8 221 -0.354492 -0.122032
5 222 -0.182121 -0.0210428
8 222 -0.119775 -0.0454955
8 196 0.433278 0.147925
8 156 -0.336888 -0.036937
5 223 -0.507058 0.0232166
8 223 -0.464516 0.0188151
5 224 0.335284 0.172867
8 224 0.432104 0.148219
8 202 -0.0875596 -0.231365
5 225 0.330707 0.172163
8 225 0.42788 0.14681
8 205 -0.0875596 -0.23052
5 226 -0.510051 0.0284984
8 226 -0.467802 0.024273
8 168 -0.201632 -0.0276997
5 227 0.330707 0.172585
8 227 0.427035 0.147233
8 74 -0.0890805 -0.231027
5 228 0.363661 -0.00234716
8 228 0.470129 -0.0353055
5 229 -0.381613 -0.0885458
8 229 -0.356771 -0.121504
8 175 -0.0598779 -0.224943
8 94 0.428049 0.146219
5 103 -0.140793 -0.18235
8 95 0.429265 0.143785
6 230 0.299334 -0.0171711
7 230 0.347215 0.0062627
7 137 0.427695 -0.230113
6 231 0.301372 0.185582
7 231 0.348234 0.204941
6 232 0.31054 0.063319
7 232 0.358421 0.0847151
6 233 0.216816 -0.0558879
7 233 0.264697 -0.0324541
6 180 0.354346 -0.185283
6 100 -0.505469 0.128526
6 234 0.391021 0.147884
7 234 0.437883 0.168262
6 235 0.404264 0.137696
7 235 0.450107 0.159092
6 236 0.271421 0.173356
7 236 0.319098 0.192918
7 149 -0.0231982 -0.0247107
6 237 0.372887 0.0449795
7 237 0.419342 0.0669869
7 152 0.337435 0.186805
6 191 0.200517 0.14279
7 97 -0.0268657 -0.077284
6 238 0.00369647 0.197809
7 238 0.0623758 0.217371
6 239 0.390735 0.0144136
7 239 0.436212 0.036421
6 240 0.195627 0.0261509
7 240 0.239636 0.0466912
6 241 0.198561 0.0173479
7 241 0.244037 0.0393553
6 242 -0.398501 -0.0706817
7 242 -0.342756 -0.0516086
6 243 0.370198 0.045224
7 243 0.415674 0.0672314
7 160 0.0665322 0.219816
7 154 0.345259 0.036421
6 244 0.326482 0.012653
7 244 0.375772 0.0355408
6 245 0.354648 -0.181012
7 245 0.41098 -0.152843
6 246 -0.0502396 0.193994
7 246 0.00961328 0.213361
6 202 -0.164664 -0.166927
6 247 0.296555 0.012653
7 247 0.345846 0.0355408
6 248 0.195509 0.0306111
7 248 0.239871 0.0517382
6 210 0.351831 -0.182773
6 249 -0.362179 -0.108828
7 249 -0.305143 -0.0877007
6 250 -0.273456 0.0073713
7 250 -0.214307 0.0284984
7 167 0.296907 -0.00319228
6 251 0.326482 0.0115967
7 251 0.375068 0.0348365
6 252 0.295217 0.182726
7 252 0.343381 0.203008
6 253 -0.275146 0.0103291
7 253 -0.216842 0.0306112
6 254 0.371266 0.0432874
7 254 0.416895 0.0661047
6 255 0.292682 0.17005
7 255 0.340846 0.190332
6 256 -0.333449 -0.139251
7 256 -0.277681 -0.116434
6 104 -0.344603 -0.0667426
6 257 0.403713 -0.108118
7 257 0.447517 -0.0789118
6 258 -0.218796 0.00585516
8 258 -0.128577 -0.0325355
6 259 -0.399968 -0.04574
8 259 -0.354785 -0.091222
6 196 0.301249 0.184604
6 260 -0.507938 0.128852
8 260 -0.442452 0.117232
8 249 -0.305565 -0.164603
8 172 -0.201632 -0.0302349
